Project name,date added(YYYY-MM-DD),link to YML file
appropedia_org--215_Accordion_photovoltaic_portable_power,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=215_Accordion_photovoltaic_portable_power
appropedia_org--215_Cassiopeia_solar_apocalypse_computer,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=215_Cassiopeia_solar_apocalypse_computer
appropedia_org--215_DIY_solar_power_box_fan_air_filter,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=215_DIY_solar_power_box_fan_air_filter
appropedia_org--215_Emergency_photovoltaic_box,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=215_Emergency_photovoltaic_box
appropedia_org--215_Mahana_solar_window_fan,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=215_Mahana_solar_window_fan
appropedia_org--215_Solar_for_low_power_medical_equipment,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=215_Solar_for_low_power_medical_equipment
appropedia_org--2_FT_Prosthetics,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=2_FT_Prosthetics
appropedia_org--3-D_printer_tent,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3-D_printer_tent
appropedia_org--3D-printed_chemical_etching_handle,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D-printed_chemical_etching_handle
appropedia_org--3D-printed_pulley,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D-printed_pulley
appropedia_org--3D-printed_tent_stake,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D-printed_tent_stake
appropedia_org--3D_Metal_Printer,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_Metal_Printer
appropedia_org--3D_Print_Material_Scale,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_Print_Material_Scale
appropedia_org--3D_Printed_SiOC%28N%29_Ceramic_Scaffolds_for_Bone_Tissue_Regeneration%3A_Improved_Osteogenic_Differentiation_of_Human_Bone_Marrow%E2%80%90Derived_Mesenchymal_Stem_Cells,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_Printed_SiOC%28N%29_Ceramic_Scaffolds_for_Bone_Tissue_Regeneration%3A_Improved_Osteogenic_Differentiation_of_Human_Bone_Marrow%E2%80%90Derived_Mesenchymal_Stem_Cells
appropedia_org--3D_Scanner_with_2_laser,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_Scanner_with_2_laser
appropedia_org--3D_printable_Polymer_Pelletizer_Chopper_for_Fused_Granular_Fabrication-Based_Additive_Manufacturing,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printable_Polymer_Pelletizer_Chopper_for_Fused_Granular_Fabrication-Based_Additive_Manufacturing
appropedia_org--3D_printed_1%2F2%22_drive_speed_brace,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_1%2F2%22_drive_speed_brace
appropedia_org--3D_printed_14-day_pill_dispenser,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_14-day_pill_dispenser
appropedia_org--3D_printed_2%22_wafer_dipper_for_Schott_Duran_250_ml_beaker,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_2%22_wafer_dipper_for_Schott_Duran_250_ml_beaker
appropedia_org--3D_printed_2_liter_winnower,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_2_liter_winnower
appropedia_org--3D_printed_7up_bicycle_part,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_7up_bicycle_part
appropedia_org--3D_printed_PET_bottle_shredder,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_PET_bottle_shredder
appropedia_org--3D_printed_PLA_as_a_mold_material_for_ceramics,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_PLA_as_a_mold_material_for_ceramics
appropedia_org--3D_printed_acorn_sheller,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_acorn_sheller
appropedia_org--3D_printed_backpack_snap-fit_clips,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_backpack_snap-fit_clips
appropedia_org--3D_printed_bike_grips,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_bike_grips
appropedia_org--3D_printed_bike_handlebar_plug,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_bike_handlebar_plug
appropedia_org--3D_printed_bike_pedal,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_bike_pedal
appropedia_org--3D_printed_bike_pedal%2Fes,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_bike_pedal%2Fes
appropedia_org--3D_printed_bike_seat,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_bike_seat
appropedia_org--3D_printed_carpet_knife,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_carpet_knife
appropedia_org--3D_printed_cider_press,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_cider_press
appropedia_org--3D_printed_click-MUAC_bands,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_click-MUAC_bands
appropedia_org--3D_printed_custom_T-shirt,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_custom_T-shirt
appropedia_org--3D_printed_digital_balance,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_digital_balance
appropedia_org--3D_printed_dual_axis_gimbal_system,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_dual_axis_gimbal_system
appropedia_org--3D_printed_garden_hose_splitter,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_garden_hose_splitter
appropedia_org--3D_printed_goniometer,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_goniometer
appropedia_org--3D_printed_gravity_light,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_gravity_light
appropedia_org--3D_printed_improved_PET_bottle_stripper,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_improved_PET_bottle_stripper
appropedia_org--3D_printed_lucky_iron_totems,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_lucky_iron_totems
appropedia_org--3D_printed_magnetic_soft_magnetic_helical_coil_actuators_of_iron_oxide_embedded_polydimethylsiloxane,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_magnetic_soft_magnetic_helical_coil_actuators_of_iron_oxide_embedded_polydimethylsiloxane
appropedia_org--3D_printed_microscope_slide_holder,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_microscope_slide_holder
appropedia_org--3D_printed_motor,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_motor
appropedia_org--3D_printed_otoscope,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_otoscope
appropedia_org--3D_printed_photovoltaic_module_spacer,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_photovoltaic_module_spacer
appropedia_org--3D_printed_prosthetic_foot,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_prosthetic_foot
appropedia_org--3D_printed_seed_sowing_tool,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_seed_sowing_tool
appropedia_org--3D_printed_shoes,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_shoes
appropedia_org--3D_printed_solar_charger,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_solar_charger
appropedia_org--3D_printed_solar_photovoltaic_racking,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_solar_photovoltaic_racking
appropedia_org--3D_printed_speaker_demo,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_speaker_demo
appropedia_org--3D_printed_speculum,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_speculum
appropedia_org--3D_printed_surgical_retractors,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printed_surgical_retractors
appropedia_org--3D_printing_a_house,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3D_printing_a_house
appropedia_org--3M_Tempa_Dot_Thermometers,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3M_Tempa_Dot_Thermometers
appropedia_org--3rd_world_CCFL_lamp_%282007_model%29,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3rd_world_CCFL_lamp_%282007_model%29
appropedia_org--3rd_world_arm_lamp_%282007_model%29,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3rd_world_arm_lamp_%282007_model%29
appropedia_org--3rd_world_arm_lamp_advantages,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=3rd_world_arm_lamp_advantages
appropedia_org--4U%3A_Mesa_en_corte_l%C3%A1ser,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=4U%3A_Mesa_en_corte_l%C3%A1ser
appropedia_org--4th_and_F_St._Cob_Bench,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=4th_and_F_St._Cob_Bench
appropedia_org--535_DCH_DIY_air_filter,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=535_DCH_DIY_air_filter
appropedia_org--535_FiltAirs_DIY_air_filter,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=535_FiltAirs_DIY_air_filter
appropedia_org--535_The_Last_Airsensor_remote_air_quality_monitoring_station,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=535_The_Last_Airsensor_remote_air_quality_monitoring_station
appropedia_org--55_gallon_drum_solar_water_still,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=55_gallon_drum_solar_water_still
appropedia_org--777_OSAT_Ankle_Support,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=777_OSAT_Ankle_Support
appropedia_org--ACROS_Fukuoka_building,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=ACROS_Fukuoka_building
appropedia_org--AEF_Sistema_de_reutilizaci%C3%B3n_de_aguas_grises,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AEF_Sistema_de_reutilizaci%C3%B3n_de_aguas_grises
appropedia_org--AEF_food_dehydrator,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AEF_food_dehydrator
appropedia_org--AEF_greywater,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AEF_greywater
appropedia_org--AEF_informational_kiosk,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AEF_informational_kiosk
appropedia_org--AEF_photovoltaic_system,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AEF_photovoltaic_system
appropedia_org--AEF_photovoltaic_system%2FTroubleshooting,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AEF_photovoltaic_system%2FTroubleshooting
appropedia_org--AEF_spiral_herb_garden,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AEF_spiral_herb_garden
appropedia_org--AIDG_biodigester,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=AIDG_biodigester
appropedia_org--ANSiscope,2022-05-09,https://www.appropedia.org/generateOpenKnowHowManifest.php?title=ANSiscope
